,Province/State,Country/Region,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20
99,New York,US,967,1706,2495,5365,8310,11710,15793
98,Washington,US,904,1076,1014,1376,1524,1793,1996
107,New Jersey,US,178,267,267,742,890,1327,1914
100,California,US,557,698,751,952,1177,1364,1642
110,Illinois,US,105,161,162,422,585,753,1049
146,Michigan,US,53,65,83,334,552,788,1037
138,Louisiana,US,136,196,257,392,538,585,837
106,Florida,US,155,216,314,417,563,659,830
101,Massachusetts,US,197,218,218,328,413,525,646
109,Texas,US,85,110,173,260,394,581,627
104,Georgia,US,121,146,199,287,420,507,600
111,Pennsylvania,US,77,112,152,206,303,396,509
116,Tennessee,US,52,74,79,154,233,371,505
105,Colorado,US,160,160,184,277,363,390,476
128,Wisconsin,US,47,72,92,159,207,282,381
126,Ohio,US,50,67,86,119,173,248,355
114,North Carolina,US,38,64,70,123,172,253,302
113,Maryland,US,41,60,85,107,149,193,244
129,Connecticut,US,30,68,68,159,194,194,223
117,Virginia,US,49,67,77,99,122,156,221
147,Mississippi,US,13,21,34,50,80,140,207
119,Indiana,US,25,30,39,60,86,128,201
115,South Carolina,US,33,47,47,81,126,171,196
122,Nevada,US,45,56,55,95,114,161,190
132,Utah,US,39,51,51,80,78,136,181
124,Minnesota,US,54,60,77,89,115,138,169
142,Arkansas,US,22,22,33,62,96,122,165
108,Oregon,US,39,66,68,88,114,114,161
118,Arizona,US,18,20,27,45,78,118,152
121,District of Columbia,US,22,22,31,40,71,77,102
139,Missouri,US,6,11,18,31,53,74,100
120,Kentucky,US,21,26,27,37,47,87,99
112,Iowa,US,23,23,29,44,45,68,90
145,Maine,US,17,32,42,52,56,70,89
127,Rhode Island,US,21,23,33,44,54,66,83
131,Oklahoma,US,10,19,19,44,49,53,67
123,New Hampshire,US,17,26,26,44,44,55,65
137,Kansas,US,11,18,18,34,44,57,64
149,New Mexico,US,17,23,23,35,43,43,57
140,Vermont,US,12,12,18,22,29,29,52
125,Nebraska,US,18,21,24,29,37,38,51
102,Diamond Princess,US,47,47,47,47,49,49,49
130,Hawaii,US,7,10,14,16,26,37,48
143,Delaware,US,8,16,19,30,38,45,47
144,Idaho,US,5,8,9,11,23,36,42
148,Montana,US,7,9,11,11,15,21,31
103,Grand Princess,US,20,21,21,22,23,23,30
150,North Dakota,US,1,3,6,18,19,28,28
153,Wyoming,US,3,11,15,18,19,23,24
151,South Dakota,US,10,11,11,11,14,14,21
141,Alaska,US,1,3,6,9,12,15,21
152,West Virginia,US,0,1,1,2,7,8,12
